,index,gltr_0,gltr_1,gltr_2,gltr_3,gltr_Label,gpt_zero_Burtiness,gpt_zero_Label,gpt_zero_Perplexity,roberta_Label,roberta_large_Label,roberta_large_score_0,roberta_large_score_1,roberta_score_Fake,roberta_score_Real,symbol,year,quarter,Text
4,25%,0.701766953199618,0.1745656578058813,0.05752563404295626,0.015117458299276482,0.75,251.5,0.0,16.75,0.0,0.0,0.996569350361824,0.0011954308138228953,0.0002109876695612911,0.9997434318065643,AAPL,2011,4,
5,50%,0.7271173948003216,0.18242785530415934,0.06657221515624749,0.016975876806838375,1.0,425.0,0.0,19.0,0.0,0.0,0.997753769159317,0.002246276708319783,0.00022287796309683472,0.9997771382331848,AAPL,2011,4,
6,75%,0.7410602982593841,0.20051684088269453,0.09156593406593407,0.023773823803811808,1.0,844.0,1.0,23.25,0.0,0.0,0.9988045692443848,0.0034306144807487726,0.0002565656541264616,0.9997890293598175,AAPL,2011,4,
7,max,0.7665706051873199,0.20916905444126074,0.11748633879781421,0.037142857142857144,1.0,32582.0,1.0,35.0,0.0,0.0,0.9995162487030029,0.0068046278320252895,0.0002870409225579351,0.9998168349266052,AAPL,2011,4,
0,count,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,AAPL,2012,1,
1,mean,0.7121063982238061,0.1914431663602638,0.07551865570095381,0.020931779714976347,0.7142857142857143,260.7142857142857,0.5714285714285714,22.0,0.0,0.0,0.9971188477107457,0.002881143765989691,0.00024759301699564924,0.999752402305603,AAPL,2012,1,
2,std,0.026849351006286895,0.016149675946599468,0.016612713465817594,0.008336147459570746,0.48795003647426666,223.89261881961355,0.5345224838248488,4.163331998932265,0.0,0.0,0.0015013819106209057,0.0015013976847131248,5.9488795093830324e-05,5.949529909742375e-05,AAPL,2012,1,
3,min,0.6840659340659341,0.17066666666666666,0.05056179775280899,0.005333333333333333,0.0,70.0,0.0,16.0,0.0,0.0,0.9954016208648682,0.0008244785713031888,0.0001731210359139368,0.9996484518051147,AAPL,2012,1,
4,25%,0.697042103948026,0.17774979380228584,0.067816091954023,0.018226953702829445,0.5,106.0,0.0,19.5,0.0,0.0,0.996117115020752,0.0018697214836720377,0.00021262741211103275,0.9997332692146301,AAPL,2012,1,
5,50%,0.7030812324929971,0.19382022471910113,0.07282913165266107,0.022988505747126436,1.0,154.0,1.0,23.0,0.0,0.0,0.9967600703239441,0.0032399059273302555,0.0002498277754057199,0.9997501969337463,AAPL,2012,1,
6,75%,0.7230900398891629,0.20428861199652276,0.08453199916614551,0.027137092023094146,1.0,398.0,1.0,24.5,0.0,0.0,0.9981302618980408,0.0038828845135867596,0.00026668139616958797,0.9997873306274414,AAPL,2012,1,
7,max,0.7573333333333333,0.21153846153846154,0.10054347826086957,0.027472527472527472,1.0,593.0,1.0,27.0,0.0,0.0,0.999175488948822,0.004598409868776798,0.00035158469108864665,0.999826967716217,AAPL,2012,1,
0,count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,AAPL,2012,2,
1,mean,0.7305356035218432,0.17293196303121197,0.07808330505218225,0.01844912839476256,1.0,207.16666666666666,0.6666666666666666,19.5,0.0,0.0,0.9988435010115305,0.0011565054398185264,0.00024205590307246894,0.9997579455375671,AAPL,2012,2,
2,std,0.017857324290300115,0.017516692061067502,0.01283492891468377,0.006985902177483512,0.0,77.10879759577806,0.5163977794943223,3.082207001484488,0.0,0.0,0.0005005859226247122,0.0005006012573294623,4.035937525459371e-05,4.0389191006079614e-05,AAPL,2012,2,
3,min,0.7085561497326203,0.15142857142857144,0.058666666666666666,0.008,1.0,70.0,0.0,15.0,0.0,0.0,0.9980897307395935,0.0006669406429864466,0.00017762671632226557,0.9997135996818542,AAPL,2012,2,
4,25%,0.7214006259780907,0.16363224637681162,0.07115312194019734,0.014869361776331086,1.0,185.5,0.25,18.25,0.0,0.0,0.9985249191522598,0.0008496153459418565,0.00022165260816109367,0.9997307658195496,AAPL,2012,2,
5,50%,0.7252415458937198,0.17292176974892837,0.07945674044265594,0.019358288770053474,1.0,225.0,1.0,19.0,0.0,0.0,0.9990533590316772,0.0009466379997320473,0.00025037718296516687,0.9997496008872986,AAPL,2012,2,
6,75%,0.7413509316770186,0.17566197183098592,0.08593167701863354,0.021666666666666667,1.0,259.25,1.0,22.0,0.0,0.0,0.9991503655910492,0.0014751087292097509,0.00026920468371827155,0.9997783601284027,AAPL,2012,2,
7,max,0.7573333333333333,0.20320855614973263,0.09444444444444444,0.028169014084507043,1.0,280.0,1.0,23.0,0.0,0.0,0.9993330836296082,0.0019102758960798383,0.00028639606898650527,0.9998224377632141,AAPL,2012,2,
0,count,,,,,,,,,,,,,,,AAPL,2012,3,0.0
1,mean,,,,,,,,,,,,,,,AAPL,2012,3,
2,std,,,,,,,,,,,,,,,AAPL,2012,3,
3,min,,,,,,,,,,,,,,,AAPL,2012,3,
4,25%,,,,,,,,,,,,,,,AAPL,2012,3,
5,50%,,,,,,,,,,,,,,,AAPL,2012,3,
6,75%,,,,,,,,,,,,,,,AAPL,2012,3,
7,max,,,,,,,,,,,,,,,AAPL,2012,3,
0,count,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,AAPL,2012,4,
1,mean,0.7008044539066004,0.18326749023730055,0.08548508737535093,0.03044296848074811,0.625,284.75,0.25,28.625,0.0,0.0,0.9947216659784317,0.00527832959414809,0.0007691509927099105,0.9992308914661407,AAPL,2012,4,
2,std,0.04280914876600729,0.01821207451085563,0.017177849724774378,0.013604881467761872,0.5175491695067657,207.07124377856042,0.4629100498862757,10.294762884940228,0.0,0.0,0.005728932273017618,0.005728964584634635,0.001579647001480615,0.0015796613369252889,AAPL,2012,4,
3,min,0.6440677966101694,0.15485564304461943,0.06036745406824147,0.0106951871657754,0.0,70.0,0.0,16.0,0.0,0.0,0.9853354692459106,0.0004560263187158853,0.00017202153685502708,0.9953235983848572,AAPL,2012,4,
4,25%,0.661087570621469,0.17023785038490918,0.07304133888395727,0.021328968237259112,0.0,148.25,0.0,22.5,0.0,0.0,0.9928167164325714,0.0011639821314020082,0.0001899926755868364,0.9997632950544357,AAPL,2012,4,
5,50%,0.7079826612843162,0.1843355726691791,0.08931538717181789,0.03182298203189568,1.0,223.0,0.0,25.0,0.0,0.0,0.9968123435974121,0.003187650698237121,0.00019631339819170535,0.9998037219047546,AAPL,2012,4,
6,75%,0.7254546923664571,0.19899952919020716,0.09214572192513368,0.042890772128060264,1.0,343.25,0.25,39.0,0.0,0.0,0.998836025595665,0.0071832353714853525,0.00023677615172346123,0.9998100697994232,AAPL,2012,4,
7,max,0.7716535433070866,0.2033898305084746,0.11581920903954802,0.04519774011299435,1.0,668.0,1.0,43.0,0.0,0.0,0.9995439648628235,0.014664607122540474,0.004676408134400845,0.9998279809951782,AAPL,2012,4,
0,count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,AAPL,2013,1,
1,mean,0.6921148656200392,0.19899001127444554,0.08243599474175933,0.02645912836375599,0.35714285714285715,380.7142857142857,0.2857142857142857,27.571428571428573,0.0,0.0,0.9988938271999359,0.0011061803462715553,0.00028024890759427635,0.9997197559901646,AAPL,2013,1,
2,std,0.022421517725409647,0.01901970426475695,0.012850300823598348,0.0066327059286655525,0.49724515809884684,270.66909362126705,0.46880723093849547,4.380275469284231,0.0,0.0,0.001089294317422457,0.0010892982575846676,8.586592381610766e-05,8.587936271824633e-05,AAPL,2013,1,
3,min,0.6583333333333333,0.18028169014084508,0.06371191135734072,0.013333333333333334,0.0,117.0,0.0,20.0,0.0,0.0,0.995979905128479,0.0004957193159498274,0.00017629505600780249,0.9995775818824768,AAPL,2013,1,
4,25%,0.6717761986616735,0.18522948239143183,0.07185372329036954,0.02205454712418501,0.0,178.75,0.0,25.25,0.0,0.0,0.9989834576845169,0.0005266770167509094,0.00020894659610348754,0.9996324479579926,AAPL,2013,1,
5,50%,0.6960184162062615,0.19023453370267773,0.0801202796348872,0.02785536933581626,0.0,280.0,0.0,28.5,0.0,0.0,0.9993549585342407,0.0006450910295825452,0.00025520291819702834,0.9997448325157166,AAPL,2013,1,
6,75%,0.7056477676716376,0.2081967213114754,0.0940191055279484,0.030428943171325443,1.0,574.75,0.75,30.75,0.0,0.0,0.9994733184576035,0.0010166012507397681,0.00036750001163454726,0.9997910261154175,AAPL,2013,1,
7,max,0.724233983286908,0.24175824175824176,0.10277777777777777,0.036312849162011177,1.0,1037.0,1.0,35.0,0.0,0.0,0.9995043277740479,0.004020137246698141,0.0004224143922328949,0.9998237490653992,AAPL,2013,1,
0,count,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,AAPL,2013,2,
1,mean,0.7176780945568186,0.1791686268269198,0.07931158919601373,0.023841689420247687,0.75,511.6666666666667,0.5833333333333334,22.833333333333332,0.0,0.0,0.9768219987551371,0.0231780041018889,0.004442394769284874,0.9955576211214066,AAPL,2013,2,
2,std,0.027929475679975935,0.01504554399216086,0.014863879423643147,0.010509815165821425,0.45226701686664544,752.2255867313562,0.5149286505444373,4.489043901713944,0.0,0.0,0.0380486990404142,0.03804869397007032,0.014530416190255994,0.014530402577557531,AAPL,2013,2,
3,min,0.6666666666666666,0.16180371352785147,0.05449591280653951,0.008595988538681949,0.0,82.0,0.0,17.0,0.0,0.0,0.8998774290084839,0.0006138953613117337,0.00018479708523955196,0.949418306350708,AAPL,2013,2,
4,25%,0.7080111970141296,0.1659583604215325,0.07078888221801444,0.015333078652981202,0.75,161.5,0.0,19.75,0.0,0.0,0.9730357080698013,0.0009038739663083106,0.00020006718841614202,0.9997297376394272,AAPL,2013,2,
5,50%,0.7209793999343607,0.17672514093123456,0.07627699031965157,0.026170798898071626,1.0,234.0,1.0,21.5,0.0,0.0,0.998001217842102,0.001998816034756601,0.00021801715774927288,0.9997819662094116,AAPL,2013,2,
6,75%,0.7346961160116381,0.1903434689297007,0.08476434051881623,0.029697216129853703,1.0,544.0,1.0,25.75,0.0,0.0,0.9990961253643036,0.0269642760977149,0.00027022136782761663,0.9997999966144562,AAPL,2013,2,
7,max,0.7559681697612732,0.20435967302452315,0.11019283746556474,0.0446927374301676,1.0,2813.0,1.0,30.0,0.0,0.0,0.9993860721588135,0.1001225933432579,0.05058175325393677,0.9998152852058411,AAPL,2013,2,
0,count,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,AAPL,2013,3,
1,mean,0.6869815760017495,0.19574949886516654,0.08819102481967736,0.029077900313406662,0.3333333333333333,491.0,0.5555555555555556,29.11111111111111,0.0,0.0,0.9968586365381876,0.003141373062842629,0.00023698272545718483,0.999763011932373,AAPL,2013,3,
2,std,0.03422530372070215,0.017825447052604592,0.02033801469059218,0.01136422277050653,0.5,764.0343578661891,0.5270462766947299,8.328331832432658,0.0,0.0,0.0033722074590897414,0.003372205753673839,4.824380492638684e-05,4.8261877562037636e-05,AAPL,2013,3,
3,min,0.6379310344827587,0.16531165311653118,0.06476683937823834,0.018134715025906734,0.0,109.0,0.0,20.0,0.0,0.0,0.9894850850105286,0.0004736964765470475,0.00017400392971467227,0.999675989151001,AAPL,2013,3,
4,25%,0.6628571428571428,0.18134715025906736,0.07506702412868632,0.019390581717451522,0.0,168.0,0.0,22.0,0.0,0.0,0.9960098266601562,0.0007842241320759058,0.00019707543833646923,0.9997398257255554,AAPL,2013,3,
5,50%,0.6863270777479893,0.19839142091152814,0.08285714285714285,0.02535211267605634,0.0,204.0,1.0,29.0,0.0,0.0,0.9983662962913513,0.0016337657580152154,0.0002346970431972295,0.9997653365135193,AAPL,2013,3,
6,75%,0.7091412742382271,0.2084507042253521,0.09295774647887324,0.03428571428571429,1.0,418.0,1.0,31.0,0.0,0.0,0.9992157220840454,0.003990197088569403,0.00026022567180916667,0.9998028874397278,AAPL,2013,3,
7,max,0.7357512953367875,0.22,0.1235632183908046,0.05172413793103448,1.0,2503.0,1.0,45.0,0.0,0.0,0.9995262622833252,0.010514907538890839,0.0003239703655708581,0.9998260140419006,AAPL,2013,3,
0,count,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,AAPL,2013,4,
1,mean,0.68974681264551,0.1975915793596557,0.0901522794678889,0.02250932852694543,0.45454545454545453,462.3636363636364,0.5454545454545454,28.90909090909091,0.0,0.0,0.9747855609113519,0.025214454148557375,0.000899259404501539,0.9991007555614818,AAPL,2013,4,
2,std,0.04233824109162151,0.020790764858239216,0.018312269325876814,0.015001326947788725,0.5222329678670934,471.90555680713754,0.5222329678670935,8.8255826488062,0.0,0.0,0.05574756006067925,0.05574756606067641,0.002182677925566872,0.002182674384783662,AAPL,2013,4,
3,min,0.6206896551724138,0.1710914454277286,0.06486486486486487,0.005291005291005291,0.0,109.0,0.0,18.0,0.0,0.0,0.8079232573509216,0.0016481172060593963,0.000173955675563775,0.9925227761268616,AAPL,2013,4,
4,25%,0.6589158793636379,0.18206845814295672,0.07701222081753055,0.012143949879798936,0.0,213.5,0.0,22.0,0.0,0.0,0.984572172164917,0.004456531954929233,0.0001881755015347153,0.9996961057186127,AAPL,2013,4,
5,50%,0.6809116809116809,0.19373219373219372,0.08670520231213873,0.017699115044247787,0.0,334.0,1.0,30.0,0.0,0.0,0.993955671787262,0.006044316105544567,0.00024125765776261687,0.999758780002594,AAPL,2013,4,
6,75%,0.7293861497401319,0.2106436014198515,0.10303993186359617,0.030247159657165637,1.0,456.5,1.0,33.5,0.0,0.0,0.9955434799194336,0.015427861828356981,0.00030385906575247645,0.9998118281364441,AAPL,2013,4,
7,max,0.7412398921832885,0.23410404624277456,0.11782477341389729,0.056179775280898875,1.0,1779.0,1.0,45.0,0.0,0.0,0.9983519315719604,0.19207677245140076,0.007477250415831804,0.9998261332511902,AAPL,2013,4,
0,count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AAPL,2014,1,
1,mean,0.7233171793254474,0.18531225358656786,0.06748437893992269,0.023886188148062152,0.8,384.7,0.6,21.5,0.0,0.0,0.9777658700942993,0.02223411904415116,0.00023026942944852634,0.9997697293758392,AAPL,2014,1,
2,std,0.02427160557532261,0.014234154099812909,0.014419975551072679,0.010263160552742028,0.42163702135578396,490.038785313072,0.5163977794943223,4.881939505292269,0.0,0.0,0.04287040092963191,0.04287039450743629,7.671507274528488e-05,7.672450216368217e-05,AAPL,2014,1,
3,min,0.6951566951566952,0.16893732970027248,0.046153846153846156,0.011019283746556474,0.0,56.0,0.0,13.0,0.0,0.0,0.8579580783843994,0.0008488766616210341,0.0001718436396913603,0.9996196031570435,AAPL,2014,1,
4,25%,0.7026602933653017,0.17365179538139805,0.05972515856236786,0.015414430530709601,1.0,148.75,0.0,19.0,0.0,0.0,0.9810987412929535,0.002194305445300415,0.00017704327183309942,0.9997126311063766,AAPL,2014,1,
5,50%,0.7234746385689782,0.18563496551774789,0.06506752656609419,0.024135815920518472,1.0,215.0,1.0,21.0,0.0,0.0,0.9925133585929871,0.007486652582883835,0.0001826338775572367,0.9998173713684082,AAPL,2014,1,
6,75%,0.7342056903871744,0.1879688250903696,0.0772963527921035,0.029649595687331536,1.0,366.25,1.0,24.5,0.0,0.0,0.997805655002594,0.018901258008554578,0.00028736202511936426,0.9998230040073395,AAPL,2014,1,
7,max,0.7692307692307693,0.21367521367521367,0.09264305177111716,0.04087193460490463,1.0,1726.0,1.0,31.0,0.0,0.0,0.9991511106491089,0.1420418918132782,0.0003803690487984568,0.9998281002044678,AAPL,2014,1,
0,count,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,AAPL,2014,2,
1,mean,0.7118033794121872,0.1888941158288049,0.0780630868313998,0.021239417927608126,0.75,496.4166666666667,0.4166666666666667,23.916666666666668,0.0,0.0,0.98961108426253,0.010388901035184972,0.0002733431222926204,0.9997266580661138,AAPL,2014,2,
2,std,0.021413770625090436,0.02237021899656335,0.014138746103691093,0.007097310841330611,0.45226701686664544,729.8129845544286,0.5149286505444373,2.9063670960444234,0.0,0.0,0.022924749814019957,0.022924738734604884,8.884890221753122e-05,8.884547471679968e-05,AAPL,2014,2,
3,min,0.6875,0.14285714285714285,0.05105105105105105,0.0053475935828877,0.0,137.0,0.0,18.0,0.0,0.0,0.9227868914604187,0.00047924177488312125,0.00016944014350883663,0.9995753169059753,AAPL,2014,2,
4,25%,0.7009359433374844,0.17996600349541525,0.07023943498001475,0.016949556026376558,0.75,195.5,0.0,23.0,0.0,0.0,0.9960135817527771,0.0005867205472895876,0.00020967003001715057,0.9996402561664581,AAPL,2014,2,
5,50%,0.7073920728311663,0.1943506006006006,0.07827822550274911,0.02123911560531279,1.0,239.5,0.0,24.5,0.0,0.0,0.9989466965198517,0.0010532619198784232,0.00022957648616284132,0.9997704029083252,AAPL,2014,2,
6,75%,0.7165049665049665,0.2058093057549769,0.08386752136752136,0.02711958533876342,1.0,420.75,1.0,26.0,0.0,0.0,0.9994133114814758,0.003986390947829932,0.0003597707545850426,0.999790370464325,AAPL,2014,2,
7,max,0.7654986522911051,0.21311475409836064,0.1092436974789916,0.03133903133903134,1.0,2759.0,1.0,28.0,0.0,0.0,0.9995207786560059,0.07721307873725891,0.0004246617027092725,0.9998304843902588,AAPL,2014,2,
0,count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AAPL,2014,3,
1,mean,0.7059605866594463,0.1942882606890912,0.07795809432993547,0.021793058321527177,0.6,535.3,0.6,25.2,0.0,0.0,0.9970654308795929,0.002934582135640085,0.00027017267857445406,0.9997298181056976,AAPL,2014,3,
2,std,0.025854902448082407,0.020757298627629844,0.01119324732772012,0.007869203550007456,0.5163977794943223,470.4636129512155,0.5163977794943223,3.8815804341359037,0.0,0.0,0.0030490125625921597,0.0030490190400033175,0.000116036856761632,0.00011603380935330133,AAPL,2014,3,
3,min,0.674863387978142,0.1623931623931624,0.06158357771260997,0.008310249307479225,0.0,123.0,0.0,20.0,0.0,0.0,0.9900826811790466,0.0005626031779684126,0.00017186495824716985,0.9994981288909912,AAPL,2014,3,
4,25%,0.681268063583815,0.1835108661507268,0.06929008057793831,0.01619111399734827,0.0,268.0,0.0,22.25,0.0,0.0,0.99741992354393,0.0010041865025414154,0.00018526554777054116,0.9996928721666336,AAPL,2014,3,
5,50%,0.7090425371103788,0.19263610683102209,0.0765192812436907,0.021479243300052547,1.0,322.5,1.0,25.0,0.0,0.0,0.9979146420955658,0.0020853900350630283,0.0002239845780422911,0.9997760057449341,AAPL,2014,3,
6,75%,0.7249746487034623,0.21392044984017092,0.08649528845301746,0.027633432081977563,1.0,594.75,1.0,27.25,0.0,0.0,0.9989958256483078,0.0025800581788644195,0.00030711105500813574,0.9998147189617157,AAPL,2014,3,
7,max,0.7423822714681441,0.2185792349726776,0.09659090909090909,0.03278688524590164,1.0,1615.0,1.0,33.0,0.0,0.0,0.9994373917579651,0.009917372837662697,0.0005018782103434205,0.9998281002044678,AAPL,2014,3,
0,count,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,AAPL,2014,4,
1,mean,0.7062612585141157,0.19438156999018974,0.07850273220109918,0.02085443929459542,0.5454545454545454,226.9090909090909,0.6363636363636364,23.90909090909091,0.0,0.0,0.9975978136062622,0.0024021884706929664,0.0004996068667175925,0.9995004047047008,AAPL,2014,4,
2,std,0.039681055234122346,0.02481870538396984,0.01684549414353317,0.01025726482538622,0.5222329678670935,142.68738875279382,0.504524979109513,5.575922263707511,0.0,0.0,0.0024160337112393362,0.002416046021717816,0.0008019669238786151,0.0008019589288770676,AAPL,2014,4,
3,min,0.6498599439775911,0.16338028169014085,0.04776119402985075,0.0027247956403269754,0.0,73.0,0.0,16.0,0.0,0.0,0.9911460280418396,0.00048224421334452927,0.00018150544201489538,0.9970916509628296,AAPL,2014,4,
4,25%,0.6714818832367322,0.17585360866898386,0.06730462635515103,0.013895883167568929,0.0,110.5,0.0,19.5,0.0,0.0,0.9970314800739288,0.0006990336114540696,0.0002148234925698489,0.9996716380119324,AAPL,2014,4,
5,50%,0.7155172413793104,0.1880108991825613,0.0784313725490196,0.022535211267605635,1.0,182.0,1.0,23.0,0.0,0.0,0.9981895089149475,0.0018105143681168556,0.0002420402888674289,0.9997579455375671,AAPL,2014,4,
6,75%,0.7362636964461708,0.20877598349334106,0.08660962271637311,0.028050546061121076,1.0,335.0,1.0,29.0,0.0,0.0,0.9993009567260742,0.0029685157351195812,0.0003283586702309549,0.9997851848602295,AAPL,2014,4,
7,max,0.764179104477612,0.24369747899159663,0.10674157303370786,0.0345821325648415,1.0,484.0,1.0,32.0,0.0,0.0,0.9995177984237671,0.00885399803519249,0.0029083830304443836,0.9998185038566589,AAPL,2014,4,
0,count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AAPL,2015,1,
1,mean,0.6936864080553542,0.19397181500098684,0.08481101520406689,0.027530761739591965,0.4,4232.7,0.4,27.4,0.0,0.0,0.9968395948410034,0.003160393104190007,0.00020553198119159787,0.9997944951057434,AAPL,2015,1,
2,std,0.022248746579415873,0.01325174977949255,0.011777279284852102,0.015807507047705466,0.5163977794943223,9477.952428311366,0.5163977794943223,5.460972644339305,0.0,0.0,0.003205749560109672,0.0032057732715005615,2.2920697228269712e-05,2.29318244668413e-05,AAPL,2015,1,
3,min,0.6648351648351648,0.17696629213483145,0.06552706552706553,0.007832898172323759,0.0,152.0,0.0,21.0,0.0,0.0,0.9885037541389465,0.0006930364179424942,0.00017704656056594104,0.9997592568397522,AAPL,2015,1,
4,25%,0.6741719353432166,0.1835238054473598,0.07512181303116147,0.018227316141356257,0.0,234.25,0.0,23.0,0.0,0.0,0.9971350133419037,0.0013643210113514215,0.00018720639855018817,0.9997812807559967,AAPL,2015,1,
